epoch,lr_g,lr_d,g,d,rec,kl,Acc,F1,AUC
1,0.0002,5e-05,37.29884719848633,1.3821832180023192,0.73187655210495,0.05057114288210869,0.5538948478987163,0.3771176037318929,0.27410028707978545
2,0.0002,5e-05,34.60201568603516,1.3652559280395509,0.6779683709144593,0.08946943283081055,,,
3,0.0002,5e-05,31.95085334777832,1.3565680503845214,0.6249359369277954,0.1343650311231613,,,
4,0.0002,5e-05,29.411558151245117,1.3501354217529298,0.5741204738616943,0.18695975542068483,,,
5,0.0002,5e-05,26.970515060424805,1.3426774978637694,0.525234830379486,0.249901619553566,0.5795674344997362,0.7338305688522766,0.09303547282893374
6,0.0002,5e-05,24.736676025390626,1.3318961143493653,0.4803739368915558,0.3179894030094147,,,
7,0.0002,5e-05,22.756483840942384,1.3182574272155763,0.4405358791351318,0.38492299914360045,,,
8,0.0002,5e-05,21.033406066894532,1.306601881980896,0.4058732330799103,0.45290539264678953,,,
9,0.0002,5e-05,19.523402786254884,1.2956982374191284,0.37550499439239504,0.5142758369445801,,,
10,0.0002,5e-05,18.216353607177734,1.2875216960906983,0.3492318391799927,0.5716562509536743,0.6221206259890979,0.5553486447341197,0.6283611073889546
11,0.0002,5e-05,17.086628723144532,1.278935980796814,0.32653009295463564,0.6282932043075562,,,
12,0.0002,5e-05,16.132138633728026,1.2730757236480712,0.30734786987304685,0.6783044934272766,,,
13,0.0002,5e-05,15.290681648254395,1.266471004486084,0.29042224287986756,0.7210032224655152,,,
14,0.0002,5e-05,14.55587387084961,1.261111807823181,0.2756600856781006,0.7612539052963256,,,
15,0.0002,5e-05,13.898009109497071,1.2527450799942017,0.26237413883209226,0.8046241641044617,0.672938280288377,0.6553002223869533,0.6946125336516793
16,0.0001866666666666667,4.666666666666667e-05,13.338162040710449,1.2440248012542725,0.25107345879077914,0.840448260307312,,,
17,0.00017333333333333334,4.3333333333333334e-05,12.865282440185547,1.2399510383605956,0.2415780782699585,0.8713983178138733,,,
18,0.00016,4e-05,12.46223201751709,1.231397533416748,0.2334010422229767,0.8973205208778381,,,
19,0.0001466666666666667,3.666666666666667e-05,12.093657684326171,1.224266481399536,0.2259395956993103,0.9219529628753662,,,
20,0.00013333333333333337,3.333333333333334e-05,11.805927276611328,1.2189717769622803,0.22013769745826722,0.9446770071983337,0.7610339370494109,0.7828032603484097,0.8133481441327308
21,0.00012,3e-05,11.528168487548829,1.2134450435638429,0.21452191472053528,0.9657907247543335,,,
22,0.00010666666666666667,2.6666666666666667e-05,11.313245010375976,1.2098976135253907,0.21019207537174225,0.9802850008010864,,,
23,9.333333333333334e-05,2.3333333333333336e-05,11.122578620910645,1.205980396270752,0.20634088516235352,0.9993133306503296,,,
24,8e-05,2e-05,10.965765953063965,1.202777624130249,0.20317811369895936,1.013849663734436,,,
25,6.666666666666668e-05,1.666666666666667e-05,10.8259126663208,1.1999783039093017,0.20034655630588533,1.0286461114883423,0.7995428169509408,0.823365354818717,0.8447938111364218
26,5.333333333333335e-05,1.3333333333333337e-05,10.719740295410157,1.1976105451583863,0.19819179475307463,1.0360752820968628,,,
27,3.999999999999999e-05,9.999999999999997e-06,10.630611038208007,1.1956843137741089,0.1963999539613724,1.0441500902175904,,,
28,2.6666666666666663e-05,6.666666666666666e-06,10.572684288024902,1.194651460647583,0.19523459374904634,1.0519850492477416,,,
29,1.3333333333333332e-05,3.333333333333333e-06,10.545843124389648,1.1936657428741455,0.19469515085220337,1.0539188146591187,,,
30,0.0,0.0,10.524742317199706,1.192862057685852,0.1942589282989502,1.0558876037597655,0.8232811675751714,0.8474730611625437,0.8578361208902316
