epoch,lr_g,lr_d,g,d,rec,lat,Acc,F1,AUC
1,0.0002,5e-05,17.075682096481323,1.3170406103134156,0.3199033349752426,0.36258601158857345,0.6867981482060747,0.7264967187254587,0.8218038564713601
2,0.0002,5e-05,10.011347246170043,1.2544455766677856,0.17930453285574913,0.29185582816600797,,,
3,0.0002,5e-05,7.716629953384399,1.2429267609119414,0.1339705502986908,0.25380108028650283,,,
4,0.0002,5e-05,6.592722206115723,1.2438110387325287,0.1119199700653553,0.22812418520450592,,,
5,0.0002,5e-05,5.952256698608398,1.2440632998943328,0.09944679990410804,0.20929052010178567,0.7200256498482905,0.760723403686525,0.8233267486210137
6,0.0002,5e-05,5.485256161689758,1.2518806493282317,0.09070173993706704,0.18449842780828477,,,
7,0.0002,5e-05,5.123517980575562,1.2595209538936616,0.08384924471378326,0.16727802902460098,,,
8,0.0002,5e-05,4.836441168785095,1.2643948256969453,0.0784275110065937,0.15111690908670425,,,
9,0.0002,5e-05,4.631810746192932,1.2686002445220947,0.07452505074441433,0.14097240090370178,,,
10,0.0002,5e-05,4.451064772605896,1.2657753384113313,0.07090026758611202,0.13819843776524066,0.7340783258781945,0.7786204876143354,0.8122355856932357
11,0.0002,5e-05,4.344362597465516,1.257915756702423,0.06857122048735619,0.14158916726708412,,,
12,0.0002,5e-05,4.240261697769165,1.2473008143901825,0.06622344918549061,0.14516850098967551,,,
13,0.0002,5e-05,4.178563213348388,1.2320055854320526,0.06460173986852169,0.1525853930413723,,,
14,0.0002,5e-05,4.131634585857391,1.2132372272014618,0.06313813731074333,0.16258611306548118,,,
15,0.0002,5e-05,4.089833424091339,1.227104243040085,0.0627571764588356,0.15317048713564874,0.7499061590916201,0.7882936258382265,0.8276750945445788
16,0.0001866666666666667,4.666666666666667e-05,3.9524931573867796,1.2454532301425933,0.06053532764315605,0.14034601792693138,,,
17,0.00017333333333333334,4.3333333333333334e-05,3.880898609161377,1.2437472259998321,0.05903667137026787,0.14029423601925373,,,
18,0.00016,4e-05,3.801030311584473,1.2400131559371947,0.057361325323581694,0.14109610110521317,,,
19,0.0001466666666666667,3.666666666666667e-05,3.7515897083282472,1.2372475516796113,0.05632613502442837,0.14135464400053024,,,
20,0.00013333333333333337,3.333333333333334e-05,3.703697395324707,1.234255347251892,0.05531380791217089,0.14179051496088504,0.7465826269198286,0.7849406705423269,0.8410287517805914
21,0.00012,3e-05,3.6444800114631652,1.2306930148601531,0.05407289758324623,0.1419317803531885,,,
22,0.00010666666666666667,2.6666666666666667e-05,3.601361405849457,1.2271369481086731,0.053167534098029136,0.14220819979906082,,,
23,9.333333333333334e-05,2.3333333333333336e-05,3.5667412853240967,1.2232314538955689,0.05240836210548878,0.14330840572714806,,,
24,8e-05,2e-05,3.5387523055076597,1.2200115704536438,0.0518043327704072,0.1429046556353569,,,
25,6.666666666666668e-05,1.666666666666667e-05,3.5026576256752016,1.2167421674728394,0.051019520461559296,0.14420986279845238,0.755309831399168,0.7956851631776214,0.8491505208495366
26,5.333333333333335e-05,1.3333333333333337e-05,3.4749101066589354,1.2140972471237184,0.05041767045855522,0.14462001785635947,,,
27,3.999999999999999e-05,9.999999999999997e-06,3.4436292457580566,1.2119643712043762,0.04977873980998993,0.14418866097927094,,,
28,2.6666666666666663e-05,6.666666666666666e-06,3.4236819696426393,1.2098090267181396,0.049334873966872694,0.14515638411045073,,,
29,1.3333333333333332e-05,3.333333333333333e-06,3.4051022338867187,1.2093517529964446,0.04897974073886871,0.14464202985167504,,,
30,0.0,0.0,3.4013679385185243,1.2086648786067962,0.0489162914827466,0.14407510846853255,0.7464887860114486,0.7848467552464261,0.8556094457493473
