epoch,lr_g,lr_d,g,d,rec,lat,Acc,F1,AUC
1,0.0002,5e-05,35.897518157958984,1.3831068277359009,0.6910864830017089,0.6752655625343322,0.5231229119043432,0.31132554596241746,0.2501725727140206
2,0.0002,5e-05,32.5742862701416,1.3698820114135741,0.6286463260650634,0.47191855907440183,,,
3,0.0002,5e-05,29.752357482910156,1.3630439519882203,0.5736230731010437,0.3960544228553772,,,
4,0.0002,5e-05,27.2252555847168,1.355726718902588,0.5236957907676697,0.3585359036922455,,,
5,0.0002,5e-05,25.047322082519532,1.350730872154236,0.48042518496513364,0.33862051367759705,0.5878318973096536,0.46410608139003195,0.3596415360189708
6,0.0002,5e-05,23.08765068054199,1.3448777198791504,0.44144521951675414,0.32251086831092834,,,
7,0.0002,5e-05,21.30501022338867,1.3374050617218018,0.4060249328613281,0.30378214120864866,,,
8,0.0002,5e-05,19.851007080078126,1.3339672088623047,0.3766248822212219,0.31564255356788634,,,
9,0.0002,5e-05,18.539810562133788,1.3285157203674316,0.35028121471405027,0.317144387960434,,,
10,0.0002,5e-05,17.352482986450195,1.3206391096115113,0.32644144892692567,0.3155061364173889,0.8739229822401969,0.8930967645743253,0.8490717110686109
11,0.0002,5e-05,16.350727462768553,1.3148135900497437,0.30626256465911866,0.3186538994312286,,,
12,0.0002,5e-05,15.477326202392579,1.306383490562439,0.28858146667480467,0.324419230222702,,,
13,0.0002,5e-05,14.715358924865722,1.300242304801941,0.2731082677841187,0.33146771788597107,,,
14,0.0002,5e-05,14.057552909851074,1.2958330869674684,0.25967790484428405,0.3435718357563019,,,
15,0.0002,5e-05,13.454388236999511,1.288485836982727,0.24741067588329316,0.3491718888282776,0.9182345700720943,0.933428775948461,0.9079768691655196
16,0.0001866666666666667,4.666666666666667e-05,12.905197143554688,1.2804121494293212,0.23625343441963195,0.3533962368965149,,,
17,0.00017333333333333334,4.3333333333333334e-05,12.491787338256836,1.2759511470794678,0.22770766615867616,0.3655638933181763,,,
18,0.00016,4e-05,12.08989315032959,1.2676011562347411,0.21952370107173919,0.36875101923942566,,,
19,0.0001466666666666667,3.666666666666667e-05,11.74838981628418,1.263466763496399,0.21253595054149627,0.37443320751190184,,,
20,0.00013333333333333337,3.333333333333334e-05,11.47774772644043,1.2577644109725952,0.20694658756256104,0.3804069995880127,0.9170036926323193,0.9323200458847146,0.8998584649961627
21,0.00012,3e-05,11.212703514099122,1.2527525186538697,0.20154479146003723,0.3833440184593201,,,
22,0.00010666666666666667,2.6666666666666667e-05,11.017875671386719,1.249766206741333,0.19757857024669648,0.3855279743671417,,,
23,9.333333333333334e-05,2.3333333333333336e-05,10.845812606811524,1.245215606689453,0.1939903289079666,0.3909518837928772,,,
24,8e-05,2e-05,10.701877212524414,1.2428271532058717,0.19111618399620056,0.3897273361682892,,,
25,6.666666666666668e-05,1.666666666666667e-05,10.57701587677002,1.2396693229675293,0.18853605389595032,0.3921063780784607,0.9141902584842624,0.929864903707962,0.8947553883292118
26,5.333333333333335e-05,1.3333333333333337e-05,10.48122444152832,1.237138295173645,0.18652849793434143,0.39525431394577026,,,
27,3.999999999999999e-05,9.999999999999997e-06,10.39802417755127,1.2348386764526367,0.18485015332698823,0.39520980715751647,,,
28,2.6666666666666663e-05,6.666666666666666e-06,10.344721412658691,1.2331796407699585,0.18379680514335633,0.39409893155097964,,,
29,1.3333333333333332e-05,3.333333333333333e-06,10.32380199432373,1.232448649406433,0.18331836760044098,0.39684858322143557,,,
30,0.0,0.0,10.299895668029786,1.2316980361938477,0.18285500407218933,0.39565340876579286,0.9166520133638122,0.9320722269991402,0.8985379030588005
