epoch,lr_g,lr_d,g,d,con,lat,freq,Acc,F1,AUC
1,0.0002,5e-05,21.64078544616699,1.3570106887817384,0.4091117763519287,0.4565206015110016,0.0,0.7400841440145141,0.8306248184556114,0.6574803451448654
2,0.0002,5e-05,13.319830856323243,1.3295076274871827,0.24690209269523622,0.23488489866256715,0.0,,,
3,0.0002,5e-05,10.212278289794922,1.3247876977920532,0.18612777531147004,0.1665927618741989,0.0,,,
4,0.0002,5e-05,8.747086448669434,1.318720555305481,0.15713806867599486,0.1485371196269989,0.0,,,
5,0.0002,5e-05,7.920345230102539,1.307443256378174,0.1404292494058609,0.15047827899456023,0.0,0.7154743657918609,0.7756843403205917,0.7889654442098605
6,0.0002,5e-05,7.415703067779541,1.2942539739608765,0.12997789710760116,0.16003644406795503,0.0,,,
7,0.0002,5e-05,7.027263050079346,1.2797435712814331,0.12180009096860886,0.17118596851825715,0.0,,,
8,0.0002,5e-05,6.745179061889648,1.2636575603485107,0.11568795591592788,0.18434508621692658,0.0,,,
9,0.0002,5e-05,6.522090301513672,1.2468819761276244,0.11072009146213531,0.1988578975200653,0.0,,,
10,0.0002,5e-05,6.337324161529541,1.2255553245544433,0.10646378397941589,0.21389505624771118,0.0,0.708780380994088,0.766494024404008,0.8017239048478283
11,0.0002,5e-05,6.154100532531738,1.2104365777969361,0.10259024858474732,0.21404496669769288,0.0,,,
12,0.0002,5e-05,5.98322135925293,1.2088538265228272,0.0994990649819374,0.19755855441093445,0.0,,,
13,0.0002,5e-05,5.8242792129516605,1.2139032697677612,0.09661364823579788,0.1834378457069397,0.0,,,
14,0.0002,5e-05,5.698634948730469,1.2181273794174194,0.09433159738779068,0.17511340856552124,0.0,,,
15,0.0002,5e-05,5.569989700317382,1.2201947736740113,0.09188810259103775,0.17054643630981445,0.0,0.7177969282742657,0.765524186998473,0.8464264517889819
16,0.0001866666666666667,4.666666666666667e-05,5.336564407348633,1.217154359817505,0.08729693919420242,0.16590381503105164,0.0,,,
17,0.00017333333333333334,4.3333333333333334e-05,5.163722743988037,1.215838565826416,0.08389515340328217,0.16255135357379913,0.0,,,
18,0.00016,4e-05,5.036170196533203,1.2160678958892823,0.0814188539981842,0.15974172532558442,0.0,,,
19,0.0001466666666666667,3.666666666666667e-05,4.915432949066162,1.2155395221710206,0.07905487269163132,0.15701973140239717,0.0,,,
20,0.00013333333333333337,3.333333333333334e-05,4.823226528167725,1.215748348236084,0.07727927595376968,0.15453278124332429,0.0,0.723044199067847,0.7654196693514201,0.8407306432260218
21,0.00012,3e-05,4.72478946685791,1.2164621782302856,0.07538102149963379,0.15190642356872558,0.0,,,
22,0.00010666666666666667,2.6666666666666667e-05,4.645684757232666,1.2172227144241332,0.07387287437915802,0.1495304846763611,0.0,,,
23,9.333333333333334e-05,2.3333333333333336e-05,4.573649482727051,1.2177535152435304,0.07247308522462845,0.1478535443544388,0.0,,,
24,8e-05,2e-05,4.513828334808349,1.2180888557434082,0.07131886780261994,0.14623456001281737,0.0,,,
25,6.666666666666668e-05,1.666666666666667e-05,4.470365524291992,1.2184881591796874,0.07048062950372697,0.14524396419525146,0.0,0.7016328318058119,0.7361629740270516,0.8347820398649815
26,5.333333333333335e-05,1.3333333333333337e-05,4.4244159317016605,1.2187617206573487,0.06959181159734726,0.1441391897201538,0.0,,,
27,3.999999999999999e-05,9.999999999999997e-06,4.3978647613525395,1.2190408849716186,0.06908180177211762,0.14348312258720397,0.0,,,
28,2.6666666666666663e-05,6.666666666666666e-06,4.368903484344482,1.2194016838073731,0.06852828979492187,0.1427838271856308,0.0,,,
29,1.3333333333333332e-05,3.333333333333333e-06,4.354662208557129,1.2191540336608886,0.06824626982212066,0.1425137972831726,0.0,,,
30,0.0,0.0,4.347832717895508,1.219380922317505,0.06812135636806488,0.1424507164955139,0.0,0.7040726954236917,0.7395236784140969,0.8365853068320979
