epoch,lr_g,lr_d,g,d,con,lat,freq,Acc,F1,AUC
1,0.0002,5e-05,18.290074081420897,1.3603522539138795,0.3420439440011978,0.369118270277977,0.0951078400015831,0.8210844880978447,0.8738830611153678,0.8402255794994641
2,0.0002,5e-05,9.780457458496095,1.3350817680358886,0.1775771164894104,0.1308572092652321,0.042170710265636444,,,
3,0.0002,5e-05,7.29470516204834,1.331750178337097,0.12888021439313888,0.09328671425580978,0.03185547113418579,,,
4,0.0002,5e-05,6.097604026794434,1.3238060760498047,0.1051086887717247,0.08586081117391586,0.02720092549920082,,,
5,0.0002,5e-05,5.363629627227783,1.3141451215744018,0.09035873651504517,0.0863897767663002,0.024243803322315217,0.700506740905252,0.7374763510734555,0.8391284794007596
6,0.0002,5e-05,4.962896633148193,1.304527325630188,0.08216631233692169,0.09157354056835175,0.023149553090333938,,,
7,0.0002,5e-05,4.634575729370117,1.2964210081100465,0.07547335803508759,0.09432447582483292,0.022217710241675376,,,
8,0.0002,5e-05,4.3827400970458985,1.2907112741470337,0.07035747587680817,0.09562381446361541,0.021395691931247712,,,
9,0.0002,5e-05,4.207421321868896,1.287237949371338,0.0667788678407669,0.09797297358512878,0.021031094640493395,,,
10,0.0002,5e-05,4.051341705322265,1.2839344215393067,0.06361010760068893,0.0991470667719841,0.02055120564997196,0.7032750477024617,0.7394135018199299,0.8571456042486256
11,0.0002,5e-05,3.932097463607788,1.2814172792434693,0.06114158183336258,0.10186122089624405,0.020283291786909102,,,
12,0.0002,5e-05,3.8117640686035155,1.2783335447311401,0.058684142231941225,0.10351295590400696,0.019846542850136758,,,
13,0.0002,5e-05,3.734072694778442,1.2764652967453003,0.05706178054213524,0.10486018985509872,0.019641348272562028,,,
14,0.0002,5e-05,3.6662121963500978,1.2727871465682983,0.05564809262752533,0.10638202667236328,0.019424144476652146,,,
15,0.0002,5e-05,3.582685546875,1.2698025703430176,0.05391188085079193,0.10709237992763519,0.019044871032238005,0.7007257030248053,0.7356131260794474,0.8534014738077462
16,0.0001866666666666667,4.666666666666667e-05,3.455880002975464,1.264017653465271,0.05131668761372566,0.10774649053812027,0.018072540536522866,,,
17,0.00017333333333333334,4.3333333333333334e-05,3.3579548931121828,1.2586467123031617,0.04927097618579865,0.10977340698242187,0.01734471194446087,,,
18,0.00016,4e-05,3.2841762924194335,1.2539018392562866,0.04770206347107887,0.11129069536924362,0.01675424285233021,,,
19,0.0001466666666666667,3.666666666666667e-05,3.2157301998138426,1.2477949857711792,0.04623076468706131,0.11369772762060165,0.01634237788617611,,,
20,0.00013333333333333337,3.333333333333334e-05,3.174845428466797,1.242554726600647,0.045288418978452684,0.11682799458503723,0.016131320968270302,0.7019143545309519,0.7370628405877078,0.8528843421839691
21,0.00012,3e-05,3.137264986038208,1.2372581148147583,0.044435850828886035,0.1192657408118248,0.015850316509604456,,,
22,0.00010666666666666667,2.6666666666666667e-05,3.1100027847290037,1.2323406887054444,0.04377313181757927,0.12213347047567367,0.015682302340865137,,,
23,9.333333333333334e-05,2.3333333333333336e-05,3.0881922245025635,1.2281040048599243,0.043235630691051484,0.1245969694852829,0.015538971833884717,,,
24,8e-05,2e-05,3.0620850467681886,1.2236264324188233,0.04263339787721634,0.12646565616130828,0.01538163423538208,,,
25,6.666666666666668e-05,1.666666666666667e-05,3.0499956226348877,1.2207089376449585,0.04231599226593971,0.12876694917678833,0.015290818512439727,0.7065672995714598,0.7443571628093938,0.8527855483726972
26,5.333333333333335e-05,1.3333333333333337e-05,3.030587739944458,1.2179403018951416,0.04187278866767883,0.13015316247940065,0.015175828002393246,,,
27,3.999999999999999e-05,9.999999999999997e-06,3.0198691082000733,1.2158205127716064,0.041616989374160765,0.13153174936771392,0.015100189745426177,,,
28,2.6666666666666663e-05,6.666666666666666e-06,3.007670907974243,1.2142897367477417,0.04134437769651413,0.13223810315132142,0.015037700608372688,,,
29,1.3333333333333332e-05,3.333333333333333e-06,2.9999007987976074,1.2134769010543822,0.04116915002465248,0.13290677726268768,0.014996346905827523,,,
30,0.0,0.0,2.9979037284851073,1.2129435873031615,0.04112514689564705,0.1328527945280075,0.014974539950489998,0.7133942256561043,0.7535968804625521,0.8515725570720241
