epoch,lr,loss,rec,kl,Acc,F1,AUC
1,0.0002,0.5896228696737025,0.5888761683470674,0.07467018854286936,0.665063401836467,0.6709386410825517,0.7305114781842125
2,0.0002,0.24343065834707683,0.24250038195815352,0.09302760536472003,,,
3,0.0002,0.14270165583325756,0.14184125492142308,0.08604013754261865,,,
4,0.0002,0.1006098021235731,0.09971592740880118,0.0893874599908789,,,
5,0.0002,0.07923092724134524,0.07836596212453312,0.08649653051462439,0.8066972744497887,0.8283893507585806,0.8807615216696627
6,0.0002,0.06685886837335096,0.06604273575875494,0.0816132573203908,,,
7,0.0002,0.058681408098588385,0.05787477031764057,0.08066376402146286,,,
8,0.0002,0.05277595782859458,0.05195541519464718,0.0820542566685213,,,
9,0.0002,0.048319876866622105,0.04752343401519789,0.0796442771744397,,,
10,0.0002,0.04487435633523597,0.04408626310113403,0.0788093443132109,0.8470703979011805,0.864249442054533,0.909944471054659
11,0.0002,0.04209423582586977,0.04129815846681595,0.0796077408724361,,,
12,0.0002,0.03992274501878354,0.03913357212311692,0.07891726680099964,,,
13,0.0002,0.03816293361079362,0.037372678932216435,0.07902547417001592,,,
14,0.0002,0.036729041693939105,0.03592684156157904,0.0802199932643109,,,
15,0.0002,0.03549023039845957,0.03467709509034952,0.0813135379511449,0.8188675120244863,0.833383609854198,0.8934038753477762
16,0.0001866666666666667,0.03438015183847812,0.03354980662051174,0.083034530799422,,,
17,0.00017333333333333334,0.033442862745788365,0.03260042787426048,0.08424346790545517,,,
18,0.00016,0.032740746883468494,0.03188728758444389,0.08534590227322446,,,
19,0.0001466666666666667,0.03211952603629066,0.03126259926810033,0.08569269886033402,,,
20,0.00013333333333333337,0.03158666128810081,0.030726965413325362,0.08596960331002872,0.8227663605888355,0.8312751491605384,0.8820561582180118
21,0.00012,0.031152853173100285,0.030287834401759837,0.08650186668253607,,,
22,0.00010666666666666667,0.030766350760435063,0.029901347174826596,0.08650036321745978,,,
23,9.333333333333334e-05,0.030393773172464635,0.02952401376225882,0.08697594619459575,,,
24,8e-05,0.029957134690549638,0.029079718567017052,0.08774161763075325,,,
25,6.666666666666668e-05,0.029659777879714966,0.028779838260056242,0.08799396082758904,0.8316207549919836,0.840978698509928,0.8869294799071463
26,5.333333333333335e-05,0.02944922809385591,0.028567838844739728,0.08813891870280106,,,
27,3.999999999999999e-05,0.029282989394333627,0.028402427935765848,0.088056153514319,,,
28,2.6666666666666663e-05,0.02918924528381063,0.028308974165055487,0.0880271222235428,,,
29,1.3333333333333332e-05,0.029136771025756996,0.028255313997053437,0.08814570162859228,,,
30,0.0,0.029076107130903337,0.02819615788757801,0.08799493178311321,0.8269202740125347,0.8364325068870524,0.8849170973285939
