epoch,lr_g,lr_d,g,d,rec,Acc,F1,AUC
1,0.0002,5e-05,17.379294061660765,1.2802745306491852,0.31945612773299215,0.8286465012981326,0.8713948656548227,0.8958131561438538
2,0.0002,5e-05,10.47733946800232,0.994690945148468,0.18052259027957918,,,
3,0.0002,5e-05,8.339178848266602,0.68147196829319,0.13513172656297684,,,
4,0.0002,5e-05,7.478150339126587,0.5809793192148208,0.11506476238369942,,,
5,0.0002,5e-05,6.8606255865097046,0.7164774346351623,0.1046915590763092,0.6705402108292409,0.7017218430517401,0.8138482993170826
6,0.0002,5e-05,6.731806907653809,0.5122256237268448,0.09627169974148274,,,
7,0.0002,5e-05,6.794923796653747,0.3507745572924614,0.09071343675255776,,,
8,0.0002,5e-05,7.011567959785461,0.2246255773305893,0.08577233172953129,,,
9,0.0002,5e-05,7.3565151357650755,0.13992769517004489,0.08184841848909855,,,
10,0.0002,5e-05,7.675473957061768,0.09114707343280315,0.07839012451469898,0.6884951046326129,0.7325069166509979,0.8294057700003676
11,0.0002,5e-05,8.039467034339905,0.06824553359299898,0.07600386872887611,,,
12,0.0002,5e-05,8.383378295898437,0.053983566239476206,0.07368803352117538,,,
13,0.0002,5e-05,8.574672021865844,0.044877809025347236,0.07220841176807881,,,
14,0.0002,5e-05,8.552557697296143,0.043115664403885604,0.07088349469006061,,,
15,0.0002,5e-05,8.711051769256592,0.036786246858537194,0.06962037593126297,0.7869107572961306,0.8478737836434589,0.8313834774893636
16,0.0001866666666666667,4.666666666666667e-05,8.65543426513672,0.031893560867756604,0.06753553204238415,,,
17,0.00017333333333333334,4.3333333333333334e-05,8.559604587554931,0.0306689047627151,0.06648116961121558,,,
18,0.00016,4e-05,8.492380180358886,0.030145820584148168,0.06517534978687763,,,
19,0.0001466666666666667,3.666666666666667e-05,8.47390362739563,0.027071645110845567,0.06394692193716764,,,
20,0.00013333333333333337,3.333333333333334e-05,8.482297658920288,0.02498698780313134,0.06299394391477108,0.6752322562482405,0.7166850858881475,0.7284827074041498
21,0.00012,3e-05,8.440540351867675,0.024323122976347804,0.062202403619885445,,,
22,0.00010666666666666667,2.6666666666666667e-05,8.684541463851929,0.025198077969253063,0.06563454382121563,,,
23,9.333333333333334e-05,2.3333333333333336e-05,8.611960334777832,0.024327940195798873,0.06447055160999299,,,
24,8e-05,2e-05,8.355171437263488,0.024143950585275888,0.05853976473212242,,,
25,6.666666666666668e-05,1.666666666666667e-05,8.420954632759095,0.022726599723100663,0.05768400177359581,0.6538130689105071,0.6937482272692682,0.6307002500252181
26,5.333333333333335e-05,1.3333333333333337e-05,8.346542310714721,0.020832911161705853,0.056955019272863866,,,
27,3.999999999999999e-05,9.999999999999997e-06,8.410981254577637,0.020034352596849204,0.05633320022374391,,,
28,2.6666666666666663e-05,6.666666666666666e-06,8.365162553787231,0.019971889574080706,0.055915766954422,,,
29,1.3333333333333332e-05,3.333333333333333e-06,8.384627571105957,0.018595518535003065,0.05559652093797922,,,
30,0.0,0.0,8.372079658508301,0.018870178330689668,0.0555654089152813,0.6502549344677656,0.6802870868123071,0.6878524737495322
