epoch,lr_g,lr_d,g,d,con,lat,freq,Acc,F1,AUC
1,0.0002,5e-05,24.703144890921457,1.354639007931664,0.4677833914756775,0.47973708737464177,0.12230154730024792,0.597678916827853,0.5553828216090168,0.44788862360063836
2,0.0002,5e-05,11.244777770269485,1.315463321549552,0.20380616968586332,0.25252726603121983,0.06426936405755225,,,
3,0.0002,5e-05,7.18006538209461,1.2845320871898107,0.12290240540390923,0.22295946379502615,0.053861223870799654,,,
4,0.0002,5e-05,5.552762326740083,1.2742363611857097,0.09097233024381456,0.19116286152885073,0.047811279339449744,,,
5,0.0002,5e-05,4.630033901759556,1.2842725345066615,0.07333469107037499,0.1599412290822892,0.04349894360417411,0.9215755231229119,0.9365034168564921,0.874978301519046
6,0.0002,5e-05,4.05321284702846,1.292374400865464,0.06237334864480155,0.14028770512058622,0.03909679342593465,,,
7,0.0002,5e-05,3.6435025305975053,1.2953458399999709,0.05470849023688407,0.12245930199112211,0.03607131576254254,,,
8,0.0002,5e-05,3.346817141487485,1.3024387529918127,0.04926241118283499,0.10603203766402744,0.03319484048656055,,,
9,0.0002,5e-05,3.0704133283524286,1.3082028116498674,0.04415689728089741,0.09232248862584432,0.030498621541829335,,,
10,0.0002,5e-05,2.901574271065848,1.311760147412618,0.04108592814632824,0.08422604841845376,0.02810493785710562,0.9238614383682082,0.9380277658508658,0.9024363968035473
11,0.0002,5e-05,2.707037017458961,1.3151113930202665,0.037419267353557405,0.07651710652169727,0.026043021519269263,,,
12,0.0002,5e-05,2.585153193700881,1.3193998166493006,0.03512747638991901,0.07291966658972558,0.02419802715026197,,,
13,0.0002,5e-05,2.489856697264172,1.321199899628049,0.03335725657996677,0.0702640793862797,0.023060208718691553,,,
14,0.0002,5e-05,2.3682202384585427,1.3234189578465052,0.031004649365232104,0.06567971763156709,0.02222731505476293,,,
15,0.0002,5e-05,2.3283663250151134,1.3257119485310145,0.030305330685916402,0.06459117272780054,0.020935054691064926,0.924740636539476,0.938822184105203,0.9062648463290737
16,0.0001866666666666667,4.666666666666667e-05,2.198529141289847,1.3268587986628215,0.0278305724440586,0.06031618923658416,0.019813643857127146,,,
17,0.00017333333333333334,4.3333333333333334e-05,2.130195038659232,1.3280747617994035,0.026552784567077953,0.05807527615910485,0.018807354161427134,,,
18,0.00016,4e-05,2.0650059438887096,1.3290158396675473,0.025320073146195637,0.056100187911873774,0.018146744264023646,,,
19,0.0001466666666666667,3.666666666666667e-05,2.022585454441252,1.328342182295663,0.02450116395595528,0.054653000263940724,0.01786877028644085,,,
20,0.00013333333333333337,3.333333333333334e-05,1.9427372330711001,1.3290374335788546,0.022963915020227432,0.05207555723332223,0.016437027736433914,0.9243889572709689,0.9386590584878743,0.9247534748023536
21,0.00012,3e-05,1.9118825083687192,1.3284349157696678,0.022391568691957565,0.05119033565833455,0.016034060867414587,,,
22,0.00010666666666666667,2.6666666666666667e-05,1.8746500923520042,1.3296757425580705,0.02174650567273299,0.04988110012241772,0.015824714897289163,,,
23,9.333333333333334e-05,2.3333333333333336e-05,1.8267359279450917,1.328778897012983,0.020810484708774658,0.04775073769546691,0.015129284800163336,,,
24,8e-05,2e-05,1.8219623338608515,1.329863707224528,0.020711255658950125,0.04747860843227023,0.015075911412991229,,,
25,6.666666666666668e-05,1.666666666666667e-05,1.7753647622608004,1.3282392990021479,0.01983145491353103,0.04608311486386117,0.014547386517127356,0.9235097590997011,0.9374910188245437,0.9284867555517656
26,5.333333333333335e-05,1.3333333333333337e-05,1.767084695044018,1.3306078002566384,0.019759455252261388,0.045214047389371056,0.014261773565695399,,,
27,3.999999999999999e-05,9.999999999999997e-06,1.7320603756677537,1.3283789839063371,0.019053065617169653,0.0440301639693124,0.013629923663323834,,,
28,2.6666666666666663e-05,6.666666666666666e-06,1.7276064100719632,1.3282821746099562,0.018993914925626347,0.04403875200521378,0.013507870513768424,,,
29,1.3333333333333332e-05,3.333333333333333e-06,1.7038956369672502,1.328433871269226,0.018548088591723216,0.04307176154993829,0.013475923577234858,,,
30,0.0,0.0,1.6965979848589217,1.330920418103536,0.018490248404088475,0.042356601251023154,0.013125267500678698,0.9236855987339546,0.9380354083380926,0.9324374017858231
