dataset,name,out_dir,epoch,Threshold,Acc,Prec,Rec,FAR,F1,AUC,seconds,train_size,test_size
unsw,UNSW-NB15,outputs\formal_160_bs256_20260606_153246\unsw_20260606_153249,45,0.14126876554541515,0.9026745372394694,0.9086787990276591,0.9152329274748544,0.11271488809601038,0.9119440872976626,0.9559631419813259,3240.703879594803,18666,27444
cic,CIC-IDS2017,outputs\formal_30_bs256_remaining\cic_20260606_163529,1,0.3827735167352277,0.6850229910225532,0.8997665270093069,0.6232664274004165,0.16670212765957446,0.7364177737059093,0.7974550223876095,3897.861316919327,102592,127876
toniot,TON_IoT,outputs\formal_30_bs256_remaining\toniot_20260606_174051,30,0.065,0.9236855987339546,0.8859223300970874,0.9966626213592233,0.17691342534504392,0.9380354083380926,0.9324374017858231,189.66821765899658,5581,5687
