epoch,lr,loss,rec,kl,Acc,F1,AUC
1,0.0002,0.7280289649963378,0.7278160214424133,0.021293537318706514,0.43520309477756286,0.04970414201183432,0.11361895640204164
2,0.0002,0.6748846054077149,0.6745921969413757,0.029240069538354875,,,
3,0.0002,0.6225572109222413,0.6221495389938354,0.040766271948814395,,,
4,0.0002,0.5714799046516419,0.5709188103675842,0.05610935017466545,,,
5,0.0002,0.5221484303474426,0.5213859677314758,0.07624629288911819,0.43520309477756286,0.04970414201183432,0.09356055068968178
6,0.0002,0.4768885552883148,0.4758960008621216,0.09925541281700134,,,
7,0.0002,0.43628690838813783,0.4350378215312958,0.12490937113761902,,,
8,0.0002,0.4012824952602386,0.3997987926006317,0.14837038815021514,,,
9,0.0002,0.3716881513595581,0.37000381350517275,0.16843441426753997,,,
10,0.0002,0.3464516639709473,0.3446044743061066,0.18471890091896057,0.4237735185510814,0.0203288490284006,0.3585151183848818
11,0.0002,0.3249674797058105,0.32299413084983825,0.19733403623104095,,,
12,0.0002,0.30678454637527464,0.30471540093421934,0.2069146603345871,,,
13,0.0002,0.29061164855957033,0.28847852945327757,0.2133116066455841,,,
14,0.0002,0.27646324634552,0.2742801010608673,0.21831402480602263,,,
15,0.0002,0.2635485172271729,0.2613353729248047,0.22131403386592866,0.6627395815016704,0.6354998099581909,0.7277018288647152
16,0.0001866666666666667,0.25244042873382566,0.2502013325691223,0.22391017973423005,,,
17,0.00017333333333333334,0.2430861234664917,0.2408114641904831,0.2274657666683197,,,
18,0.00016,0.23521775603294373,0.23294166326522828,0.22760940194129944,,,
19,0.0001466666666666667,0.22794079184532165,0.22563523948192596,0.2305551677942276,,,
20,0.00013333333333333337,0.2222886085510254,0.21996789574623107,0.23207102417945863,0.7330754352030948,0.7392648574373069,0.802821716144279
21,0.00012,0.2167544424533844,0.2144221007823944,0.2332343727350235,,,
22,0.00010666666666666667,0.21252830028533937,0.21018723249435425,0.23410673141479493,,,
23,9.333333333333334e-05,0.20880817770957946,0.20645029842853546,0.23578786551952363,,,
24,8e-05,0.20567688643932341,0.20332337617874147,0.2353512942790985,,,
25,6.666666666666668e-05,0.20293001532554628,0.20055448412895202,0.23755302429199218,0.7682433620538069,0.7898596938775511,0.838536146877652
26,5.333333333333335e-05,0.20080234706401826,0.19842709898948668,0.23752481341362,,,
27,3.999999999999999e-05,0.1990710437297821,0.1966886341571808,0.23824124038219452,,,
28,2.6666666666666663e-05,0.19793466627597808,0.19554669857025148,0.23879710733890533,,,
29,1.3333333333333332e-05,0.19738165736198426,0.19499884843826293,0.2382806956768036,,,
30,0.0,0.197001177072525,0.19461553394794465,0.2385647863149643,0.7900474767012484,0.8159111933395006,0.8536731848395887
