epoch,lr,loss,rec,kl,Acc,F1,AUC
1,0.0002,0.361558755338192,0.35957179695367814,0.19869579745456575,0.8091588726578873,0.8691446465339739,0.8398058150631209
2,0.0002,0.23221469134092332,0.22715506657958032,0.5059625273942947,,,
3,0.0002,0.1870838849246502,0.18016228720545768,0.6921598160266876,,,
4,0.0002,0.16084424883127213,0.15241491958498954,0.842932899594307,,,
5,0.0002,0.14544409453868867,0.1365570132434368,0.8887081044912338,0.6787043698583002,0.7098118431461182,0.8510415299700305
6,0.0002,0.13490958347916604,0.12603206120431423,0.8877522259950638,,,
7,0.0002,0.12665196463465692,0.11794575423002243,0.8706211256980896,,,
8,0.0002,0.11959813050925731,0.11100009873509407,0.859803204536438,,,
9,0.0002,0.1134135266393423,0.10480023972690106,0.8613287383317947,,,
10,0.0002,0.10793330550193786,0.09930474385619163,0.8628561753034591,0.7260862085144985,0.7711805169947151,0.8297353947893127
11,0.0002,0.10357820697128772,0.09497463636100292,0.8603570967912674,,,
12,0.0002,0.099631020501256,0.09107928954064846,0.8551731061935425,,,
13,0.0002,0.0965706842392683,0.0880793809145689,0.8491303479671478,,,
14,0.0002,0.0937896168231964,0.08539267808198929,0.8396938943862915,,,
15,0.0002,0.09167395770549774,0.08336850643157959,0.8305451881885528,0.7424301667240139,0.7862219366396014,0.8358273590421996
16,0.0001866666666666667,0.08910876393318176,0.08086155280470848,0.8247211289405822,,,
17,0.00017333333333333334,0.0872345893830061,0.07902430847287178,0.8210280954837799,,,
18,0.00016,0.08544186301529408,0.07726135373115539,0.8180509179830551,,,
19,0.0001466666666666667,0.08414657339453697,0.07598749138414859,0.8159082329273224,,,
20,0.00013333333333333337,0.0828872922807932,0.07475851655006409,0.8128775852918625,0.7371828959304326,0.7790284827604346,0.8241965060104096
21,0.00012,0.08159229293465614,0.07347744069993496,0.8114852261543274,,,
22,0.00010666666666666667,0.08047296829521657,0.07236523695290088,0.810773161649704,,,
23,9.333333333333334e-05,0.07958774462342262,0.07149387396872044,0.8093870955705643,,,
24,8e-05,0.07888929679989815,0.07080071546137333,0.8088581490516663,,,
25,6.666666666666668e-05,0.07808666072785854,0.06999924883246422,0.8087412095069886,0.744549407238262,0.7876321366810126,0.8255106170274042
26,5.333333333333335e-05,0.07746833242475987,0.0693773702532053,0.8090962213277817,,,
27,3.999999999999999e-05,0.07683280721306801,0.06873555175960064,0.8097255885601043,,,
28,2.6666666666666663e-05,0.07648516528308391,0.06838272839784622,0.8102437251806259,,,
29,1.3333333333333332e-05,0.07615512527525425,0.06804740510880947,0.8107720750570298,,,
30,0.0,0.07607104726135731,0.06796173691749573,0.8109310358762741,0.7343520285276361,0.7745972343870265,0.8236764460147274
