dataset,name,variant,note,out_dir,epoch,Threshold,Acc,Prec,Rec,FAR,F1,AUC,seconds,train_size,test_size
unsw,UNSW-NB15,full,Complete FFT-STGAN-IDS model.,outputs/ablation_30_remote_fast/20260606_214514/unsw/full,30,0.1653657639044961,0.8786255647864742,0.8916295459078518,0.8874404446797247,0.13217645150827118,0.8895300633436142,0.9401511851309122,311.0570511817932,18666,27444
unsw,UNSW-NB15,baseline_gan,"Paper-style baseline: remove spatio-temporal fusion, FFT prior, and cross-layer fusion.",outputs/ablation_30_remote_fast/20260606_214514/unsw/baseline_gan,30,0.19588002798402027,0.8574551814604285,0.8598971722365039,0.8853890947591319,0.1767758676613688,0.8724569640062598,0.9189745542719884,195.9028604030609,18666,27444
unsw,UNSW-NB15,no_fft_prior,Remove the learnable FFT band prior branch and its frequency score/loss.,outputs/ablation_30_remote_fast/20260606_214514/unsw/no_fft_prior,30,0.22288744791421145,0.880046640431424,0.9039644565960355,0.8751323451561673,0.11393123580927668,0.8893147737206644,0.9475212982119711,270.2643756866455,18666,27444
unsw,UNSW-NB15,no_temporal_gru,Remove the GRU temporal branch inside spatio-temporal fusion.,outputs/ablation_30_remote_fast/20260606_214514/unsw/no_temporal_gru,20,0.22251175314609162,0.8778239323713745,0.9046734117970955,0.8697723663313923,0.11230943885825495,0.8868796599305017,0.9445895771943582,248.12182331085205,18666,27444
unsw,UNSW-NB15,no_st_fusion,Bypass the spatio-temporal/frequency fusion block after each encoder stage.,outputs/ablation_30_remote_fast/20260606_214514/unsw/no_st_fusion,30,0.2209296429749429,0.8729048243696255,0.9031631520532741,0.8615669666490207,0.1132014271813169,0.8818748306691954,0.9434238194150988,226.79987740516663,18666,27444
unsw,UNSW-NB15,no_cffm,Remove decoder cross-layer feature fusion skip aggregation.,outputs/ablation_30_remote_fast/20260606_214514/unsw/no_cffm,30,0.20388033066822306,0.8678035271826264,0.8875539956803455,0.8701694017998941,0.1350956860201103,0.8787757284148623,0.925487820468022,296.7550895214081,18666,27444
unsw,UNSW-NB15,no_freq_loss,"Keep FFT branch and score, but remove frequency consistency loss.",outputs/ablation_30_remote_fast/20260606_214514/unsw/no_freq_loss,30,0.23233050320733678,0.8544672788223291,0.8987804878048781,0.8290762308099524,0.1144177748945832,0.86252237367479,0.931905138572204,304.0950288772583,18666,27444
unsw,UNSW-NB15,no_latent_loss,Remove discriminator feature matching loss and latent score contribution.,outputs/ablation_30_remote_fast/20260606_214514/unsw/no_latent_loss,5,0.32736341321095314,0.8608074624690278,0.8570254205134691,0.896836950767602,0.1833441453130068,0.8764793377740413,0.9290285631583024,303.9086720943451,18666,27444
unsw,UNSW-NB15,no_adv_loss,Remove generator adversarial objective and discriminator score contribution.,outputs/ablation_30_remote_fast/20260606_214514/unsw/no_adv_loss,30,0.24621980192455137,0.8758198513336248,0.904367053620785,0.8660667019587083,0.11222834901070386,0.8848025959978366,0.9400954117140615,303.9482514858246,18666,27444
unsw,UNSW-NB15,rec_only_score,Train the full model but use reconstruction error only for anomaly scoring.,outputs/ablation_30_remote_fast/20260606_214514/unsw/rec_only_score,30,0.2797992220194982,0.8820507214691736,0.9073756432246999,0.8751323451561673,0.10947129419396691,0.8909623741031428,0.9434892300319362,303.990993976593,18666,27444
cic,CIC-IDS2017,full,Complete FFT-STGAN-IDS model.,outputs/ablation_30_remote_fast/20260606_214514/cic/full,20,0.38906052935797375,0.7145750570865526,0.9501900313091232,0.628649918029155,0.07912234042553191,0.7566781997693379,0.8444686884570531,1259.2648956775665,102592,127876
cic,CIC-IDS2017,baseline_gan,"Paper-style baseline: remove spatio-temporal fusion, FFT prior, and cross-layer fusion.",outputs/ablation_30_remote_fast/20260606_214514/cic/baseline_gan,15,0.3389733442032758,0.7177969282742657,0.9258199877414387,0.6525433116221365,0.125531914893617,0.765524186998473,0.8464264517889819,673.5112435817719,102592,127876
cic,CIC-IDS2017,no_fft_prior,Remove the learnable FFT band prior branch and its frequency score/loss.,outputs/ablation_30_remote_fast/20260606_214514/cic/no_fft_prior,30,0.37024680880394595,0.7107666802214645,0.9109472840001234,0.6542602685099029,0.15356382978723404,0.7615560168650155,0.8097655823559523,1074.1757185459137,102592,127876
cic,CIC-IDS2017,no_temporal_gru,Remove the GRU temporal branch inside spatio-temporal fusion.,outputs/ablation_30_remote_fast/20260606_214514/cic/no_temporal_gru,10,0.420189719651158,0.6937189151990991,0.9597380635411794,0.5909433293455625,0.05952127659574468,0.7314859250524468,0.8393220200368987,946.5413036346436,102592,127876
cic,CIC-IDS2017,no_st_fusion,Bypass the spatio-temporal/frequency fusion block after each encoder stage.,outputs/ablation_30_remote_fast/20260606_214514/cic/no_st_fusion,30,0.3670835887328849,0.718696236979574,0.9386996703935888,0.6435597500996942,0.10090425531914894,0.7636033857315598,0.8338576633312687,842.0041897296906,102592,127876
