epoch,lr_g,lr_d,g,d,rec,lat,Acc,F1,AUC
1,0.0002,5e-05,28.995687776141697,1.3397125254074733,0.558821170280377,0.3505547439886464,0.670018947675266,0.6994557281295634,0.7320698821059218
2,0.0002,5e-05,12.662723965115017,1.2742143952184253,0.2318133550385634,0.33087094500660896,,,
3,0.0002,5e-05,8.005768775939941,1.2451973110437393,0.13778706370956367,0.3724382482469082,,,
4,0.0002,5e-05,6.173255721728007,1.2238880511787202,0.10046580858114693,0.39575931388470864,,,
5,0.0002,5e-05,5.269650220870972,1.196708208984799,0.08195413762910499,0.39941608491871095,0.7963124908905408,0.821016905737705,0.8639017071280249
6,0.0002,5e-05,4.766906877358754,1.162075161933899,0.07142908809085687,0.4043477686742942,,,
7,0.0002,5e-05,4.4749590622054205,1.1116314629713695,0.06464233590910833,0.41676944452855325,,,
8,0.0002,5e-05,4.2958583103285894,1.0327400879727469,0.05992173543199897,0.4258604500856664,,,
9,0.0002,5e-05,4.136567268106672,0.9269759944743581,0.055423007605390415,0.4415399701231056,,,
10,0.0002,5e-05,3.9583399991194406,0.8803901597857475,0.05268549613861574,0.42043542861938477,0.7806806587960938,0.8062948540533582,0.8377955465232503
11,0.0002,5e-05,3.8527303205596075,0.8509717310468355,0.051107202294386096,0.4058420757452647,,,
12,0.0002,5e-05,3.7622463471359677,0.8187555132640733,0.049574542324990034,0.3851563090251552,,,
13,0.0002,5e-05,3.7719500958919525,0.7645693148175875,0.04834595244998733,0.4051078048845132,,,
14,0.0002,5e-05,3.7157384355862937,0.7499964046809409,0.04749966562829084,0.39608323987987304,,,
15,0.0002,5e-05,3.697923024495443,0.7195206160346667,0.04665764266004165,0.3883295754591624,0.7781300102025944,0.809044438172296,0.8352780748591937
16,0.0001866666666666667,4.666666666666667e-05,3.6606633034017353,0.717113782134321,0.045846500175280705,0.3964035068121221,,,
17,0.00017333333333333334,4.3333333333333334e-05,3.316007458501392,1.0601169574591849,0.04376616147864196,0.4734601432250606,,,
18,0.00016,4e-05,3.265051712592443,0.9528531382481257,0.04061374409745137,0.4567450036605199,,,
19,0.0001466666666666667,3.666666666666667e-05,3.254537125428518,0.8300967489679655,0.0377970592946642,0.387741443183687,,,
20,0.00013333333333333337,3.333333333333334e-05,3.1710522803995342,0.820628340045611,0.035643663412580885,0.343976481921143,0.824843317300685,0.8298346844136075,0.8871761890072558
21,0.00012,3e-05,3.151742938492033,0.7950993138882849,0.03450823528692126,0.34391793111960095,,,
22,0.00010666666666666667,2.6666666666666667e-05,3.0878882474369473,0.8380901772114966,0.03428223806743821,0.3371059348185857,,,
23,9.333333333333334e-05,2.3333333333333336e-05,3.0382849838998585,0.8164904374215338,0.033160386296610035,0.3091822291413943,,,
24,8e-05,2e-05,3.0285949607690177,0.7992776425348388,0.03229239319140712,0.3099224554995696,,,
25,6.666666666666668e-05,1.666666666666667e-05,2.9640351699458227,0.8650056347250938,0.03276941555345224,0.306430637008614,0.8229121119370354,0.831390507910075,0.8911069914644887
26,5.333333333333335e-05,1.3333333333333337e-05,2.921706782446967,0.8676785205801328,0.03236760191308955,0.2581153600994084,,,
27,3.999999999999999e-05,9.999999999999997e-06,2.86850235859553,0.8682700097560883,0.03130177638700439,0.2515643359058433,,,
28,2.6666666666666663e-05,6.666666666666666e-06,2.8146206935246787,0.8837185560001267,0.03071776472239031,0.24024823473559487,,,
29,1.3333333333333332e-05,3.333333333333333e-06,2.7767370144526162,0.8924809586670663,0.03030565774275197,0.23646936213804615,,,
30,0.0,0.0,2.772699922323227,0.8963108782966932,0.030179825585542455,0.23490766415165532,0.8422241655735315,0.8513968014276889,0.9186351756597553
